date, registeredUsers, appOpens
2018-1Q,Realme,1065,0.05752714308864042
2018-1Q,Motorola,662,0.035758656079511696
2018-1Q,Lenovo,577,0.03116728785177983
2018-1Q,Apple,548,0.02960082104467131
2018-1Q,Micromax,498,0.026900016204829038
2018-1Q,OnePlus,435,0.023497002106627776
2018-1Q,Others,3141,0.16966456003889158
2020-4Q,Xiaomi,41993,0.23799214495004165
2020-4Q,Samsung,33436,0.18949599596479397
2020-4Q,Vivo,27150,0.1538705673658379
2020-4Q,Oppo,23405,0.1326460636905133
2020-4Q,Realme,13219,0.07491768066331533
2020-4Q,Huawei,3369,0.01909355217147359
2020-4Q,Apple,3096,0.017546345361496653
2020-4Q,Micromax,3067,0.01738199005933793
2020-4Q,Motorola,3016,0.017092951424507077
2020-4Q,Asus,2832,0.016050145369431047
2020-4Q,Others,21864,0.12391256297925156
2020-3Q,Xiaomi,37816,0.2397347550731896
2020-3Q,Samsung,29736,0.18851154740999487
2020-3Q,Vivo,23981,0.15202769096176644
2020-3Q,Oppo,20562,0.13035292029339232
2020-3Q,Realme,11286,0.07154766357510095
2020-3Q,Huawei,3110,0.019715863345610842
2020-3Q,Micromax,2892,0.01833385105964841
2020-3Q,Motorola,2853,0.018086610329590913
2020-3Q,Apple,2775,0.017592128869475913
2020-3Q,Asus,2623,0.016628523972841557
2020-3Q,Others,20107,0.12746844510938818
2020-2Q,Xiaomi,32935,0.24179398139650982
2020-2Q,Samsung,25696,0.18864849388081725
2020-2Q,Vivo,20152,0.14794693526954505
2020-2Q,Oppo,17459,0.1281761384910176
2020-2Q,Realme,9186,0.06743948726607983
2020-2Q,Huawei,2792,0.020497610325157293
2020-2Q,Motorola,2600,0.019088032537753926
2020-2Q,Micromax,2562,0.018809053600663678
2020-2Q,Apple,2489,0.018273120379411353
2020-2Q,Asus,2372,0.01741415891521243
2020-2Q,Others,17968,0.13191298793783174
2020-1Q,Xiaomi,27877,0.2449347180487462
2020-1Q,Samsung,21610,0.1898711933505544
2020-1Q,Vivo,16379,0.14391023951359236
2020-1Q,Oppo,14191,0.1246858910151651
2020-1Q,Realme,7242,0.06363013337550741
2020-1Q,Huawei,2446,0.021491204948424623
2020-1Q,Motorola,2386,0.020964029029820586
2020-1Q,Apple,2309,0.0202874866009454
2020-1Q,Micromax,2089,0.018354508232730597
2020-1Q,Asus,2050,0.018011843885637972
2020-1Q,Others,15235,0.13385875199887537
2024-2Q,null,null,null
2024-1Q,null,null,null
2021-4Q,Vivo,5751824,0.26171775642777456
2021-4Q,Xiaomi,4469665,0.203377345305376
